physical_quantity,power,energy,voltage
type,active,reactive,
,,,
2012-01-01 00:00:00,963.0,703.0,662.0
2012-01-01 00:00:01,598.0,840.0,493.0
2012-01-01 00:00:02,391.0,685.0,166.0
2012-01-01 00:00:03,401.0,732.0,707.0
2012-01-01 00:00:04,272.0,677.0,325.0
2012-01-01 00:00:05,253.0,470.0,391.0
2012-01-01 00:00:06,695.0,571.0,615.0
2012-01-01 00:00:07,178.0,395.0,80.0
2012-01-01 00:00:08,492.0,14.0,643.0
2012-01-01 00:00:09,939.0,16.0,26.0
2012-01-01 00:00:10,366.0,942.0,979.0
2012-01-01 00:00:11,34.0,924.0,908.0
2012-01-01 00:00:12,279.0,785.0,226.0
2012-01-01 00:00:13,218.0,363.0,445.0
2012-01-01 00:00:14,141.0,765.0,14.0
2012-01-01 00:00:15,831.0,536.0,264.0
2012-01-01 00:00:16,540.0,229.0,978.0
2012-01-01 00:00:17,780.0,842.0,586.0
2012-01-01 00:00:18,335.0,756.0,399.0
2012-01-01 00:00:19,794.0,645.0,586.0
2012-01-01 00:00:20,649.0,290.0,624.0
2012-01-01 00:00:21,409.0,663.0,891.0
2012-01-01 00:00:22,694.0,562.0,956.0
2012-01-01 00:00:23,988.0,137.0,431.0
2012-01-01 00:00:24,790.0,347.0,298.0
2012-01-01 00:00:25,227.0,934.0,520.0
2012-01-01 00:00:26,721.0,336.0,793.0
2012-01-01 00:00:27,92.0,533.0,899.0
2012-01-01 00:00:28,683.0,558.0,400.0
2012-01-01 00:00:29,530.0,546.0,408.0
2012-01-01 00:00:30,452.0,61.0,194.0
2012-01-01 00:00:31,300.0,467.0,272.0
2012-01-01 00:00:32,43.0,987.0,468.0
2012-01-01 00:00:33,79.0,447.0,986.0
2012-01-01 00:00:34,64.0,488.0,583.0
2012-01-01 00:00:35,489.0,655.0,405.0
2012-01-01 00:00:36,255.0,490.0,667.0
2012-01-01 00:00:37,474.0,964.0,415.0
2012-01-01 00:00:38,696.0,907.0,282.0
2012-01-01 00:00:39,47.0,530.0,941.0
2012-01-01 00:00:40,852.0,684.0,87.0
2012-01-01 00:00:41,555.0,131.0,641.0
2012-01-01 00:00:42,216.0,17.0,281.0
2012-01-01 00:00:43,610.0,874.0,963.0
2012-01-01 00:00:44,818.0,898.0,477.0
2012-01-01 00:00:45,6.0,816.0,810.0
2012-01-01 00:00:46,204.0,983.0,3.0
2012-01-01 00:00:47,456.0,501.0,529.0
2012-01-01 00:00:48,918.0,606.0,668.0
2012-01-01 00:00:49,86.0,764.0,705.0
2012-01-01 00:00:50,548.0,82.0,635.0
2012-01-01 00:00:51,404.0,977.0,752.0
2012-01-01 00:00:52,94.0,101.0,741.0
2012-01-01 00:00:53,66.0,686.0,914.0
2012-01-01 00:00:54,50.0,396.0,457.0
2012-01-01 00:00:55,344.0,400.0,186.0
2012-01-01 00:00:56,522.0,260.0,664.0
2012-01-01 00:00:57,974.0,943.0,137.0
2012-01-01 00:00:58,216.0,521.0,397.0
2012-01-01 00:00:59,205.0,667.0,120.0
2012-01-01 00:01:00,289.0,434.0,88.0
2012-01-01 00:01:01,507.0,433.0,544.0
2012-01-01 00:01:02,27.0,863.0,250.0
2012-01-01 00:01:03,924.0,442.0,96.0
2012-01-01 00:01:04,296.0,900.0,742.0
2012-01-01 00:01:05,188.0,169.0,652.0
2012-01-01 00:01:06,740.0,116.0,634.0
2012-01-01 00:01:07,925.0,409.0,644.0
2012-01-01 00:01:08,737.0,325.0,164.0
2012-01-01 00:01:09,49.0,863.0,254.0
2012-01-01 00:01:10,425.0,940.0,700.0
2012-01-01 00:01:11,529.0,896.0,46.0
2012-01-01 00:01:12,481.0,210.0,175.0
2012-01-01 00:01:13,827.0,9.0,577.0
2012-01-01 00:01:14,504.0,948.0,960.0
2012-01-01 00:01:15,320.0,29.0,646.0
2012-01-01 00:01:16,438.0,62.0,190.0
2012-01-01 00:01:17,712.0,968.0,72.0
2012-01-01 00:01:18,961.0,899.0,61.0
2012-01-01 00:01:19,38.0,736.0,958.0
2012-01-01 00:01:20,720.0,328.0,156.0
2012-01-01 00:01:21,420.0,913.0,138.0
2012-01-01 00:01:22,969.0,872.0,415.0
2012-01-01 00:01:23,37.0,556.0,110.0
2012-01-01 00:01:24,900.0,66.0,458.0
2012-01-01 00:01:25,466.0,39.0,373.0
2012-01-01 00:01:26,406.0,606.0,288.0
2012-01-01 00:01:27,661.0,365.0,76.0
2012-01-01 00:01:28,75.0,45.0,875.0
2012-01-01 00:01:29,722.0,904.0,772.0
2012-01-01 00:01:30,884.0,188.0,871.0
2012-01-01 00:01:31,354.0,811.0,574.0
2012-01-01 00:01:32,259.0,112.0,153.0
2012-01-01 00:01:33,48.0,903.0,155.0
2012-01-01 00:01:34,795.0,564.0,189.0
2012-01-01 00:01:35,93.0,214.0,509.0
2012-01-01 00:01:36,437.0,921.0,172.0
2012-01-01 00:01:37,262.0,9.0,214.0
2012-01-01 00:01:38,490.0,519.0,271.0
2012-01-01 00:01:39,774.0,892.0,456.0
2012-01-01 00:01:40,782.0,935.0,224.0
2012-01-01 00:01:41,442.0,969.0,321.0
2012-01-01 00:01:42,701.0,508.0,726.0
2012-01-01 00:01:43,47.0,680.0,402.0
2012-01-01 00:01:44,747.0,642.0,300.0
2012-01-01 00:01:45,785.0,944.0,68.0
2012-01-01 00:01:46,624.0,69.0,832.0
2012-01-01 00:01:47,681.0,645.0,947.0
2012-01-01 00:01:48,841.0,357.0,113.0
2012-01-01 00:01:49,501.0,212.0,777.0
2012-01-01 00:01:50,869.0,375.0,31.0
2012-01-01 00:01:51,24.0,922.0,753.0
2012-01-01 00:01:52,534.0,717.0,587.0
2012-01-01 00:01:53,784.0,696.0,546.0
2012-01-01 00:01:54,351.0,281.0,904.0
2012-01-01 00:01:55,899.0,992.0,220.0
2012-01-01 00:01:56,359.0,618.0,400.0
2012-01-01 00:01:57,7.0,546.0,396.0
2012-01-01 00:01:58,744.0,765.0,259.0
2012-01-01 00:01:59,440.0,919.0,550.0
2012-01-01 00:02:00,623.0,357.0,809.0
2012-01-01 00:02:01,69.0,500.0,569.0
2012-01-01 00:02:02,11.0,668.0,229.0
2012-01-01 00:02:03,482.0,543.0,176.0
2012-01-01 00:02:04,264.0,770.0,957.0
2012-01-01 00:02:05,521.0,427.0,271.0
2012-01-01 00:02:06,562.0,690.0,14.0
2012-01-01 00:02:07,137.0,293.0,124.0
2012-01-01 00:02:08,815.0,918.0,164.0
2012-01-01 00:02:09,328.0,232.0,800.0
2012-01-01 00:02:10,464.0,608.0,290.0
2012-01-01 00:02:11,657.0,136.0,367.0
2012-01-01 00:02:12,525.0,936.0,849.0
2012-01-01 00:02:13,121.0,724.0,445.0
2012-01-01 00:02:14,574.0,964.0,188.0
2012-01-01 00:02:15,364.0,773.0,156.0
2012-01-01 00:02:16,954.0,673.0,294.0
2012-01-01 00:02:17,301.0,825.0,576.0
2012-01-01 00:02:18,793.0,915.0,199.0
2012-01-01 00:02:19,316.0,563.0,971.0
2012-01-01 00:02:20,111.0,432.0,27.0
2012-01-01 00:02:21,754.0,215.0,950.0
2012-01-01 00:02:22,357.0,630.0,555.0
2012-01-01 00:02:23,172.0,72.0,450.0
2012-01-01 00:02:24,186.0,189.0,551.0
2012-01-01 00:02:25,928.0,835.0,185.0
2012-01-01 00:02:26,172.0,583.0,411.0
2012-01-01 00:02:27,932.0,716.0,491.0
2012-01-01 00:02:28,847.0,631.0,278.0
2012-01-01 00:02:29,323.0,967.0,402.0
2012-01-01 00:02:30,800.0,228.0,971.0
2012-01-01 00:02:31,78.0,186.0,453.0
2012-01-01 00:02:32,454.0,350.0,16.0
2012-01-01 00:02:33,755.0,278.0,214.0
2012-01-01 00:02:34,609.0,962.0,250.0
2012-01-01 00:02:35,940.0,292.0,543.0
2012-01-01 00:02:36,450.0,389.0,371.0
2012-01-01 00:02:37,472.0,501.0,953.0
2012-01-01 00:02:38,115.0,486.0,63.0
2012-01-01 00:02:39,841.0,274.0,572.0
2012-01-01 00:02:40,947.0,841.0,78.0
2012-01-01 00:02:41,692.0,987.0,584.0
2012-01-01 00:02:42,673.0,759.0,499.0
2012-01-01 00:02:43,279.0,132.0,90.0
2012-01-01 00:02:44,446.0,408.0,501.0
2012-01-01 00:02:45,732.0,735.0,61.0
2012-01-01 00:02:46,881.0,849.0,455.0
2012-01-01 00:02:47,958.0,403.0,605.0
2012-01-01 00:02:48,511.0,815.0,777.0
2012-01-01 00:02:49,311.0,360.0,573.0
2012-01-01 00:02:50,283.0,979.0,284.0
2012-01-01 00:02:51,537.0,500.0,400.0
2012-01-01 00:02:52,505.0,301.0,685.0
2012-01-01 00:02:53,967.0,553.0,351.0
2012-01-01 00:02:54,430.0,789.0,815.0
2012-01-01 00:02:55,799.0,117.0,241.0
2012-01-01 00:02:56,355.0,949.0,718.0
2012-01-01 00:02:57,210.0,570.0,761.0
2012-01-01 00:02:58,528.0,452.0,483.0
2012-01-01 00:02:59,165.0,346.0,901.0
2012-01-01 00:03:00,136.0,65.0,999.0
2012-01-01 00:03:01,915.0,368.0,130.0
2012-01-01 00:03:02,993.0,572.0,605.0
2012-01-01 00:03:03,25.0,226.0,107.0
2012-01-01 00:03:04,444.0,512.0,990.0
2012-01-01 00:03:05,925.0,146.0,634.0
2012-01-01 00:03:06,476.0,313.0,699.0
2012-01-01 00:03:07,857.0,918.0,52.0
2012-01-01 00:03:08,598.0,740.0,530.0
2012-01-01 00:03:09,934.0,479.0,411.0
2012-01-01 00:03:10,386.0,274.0,791.0
2012-01-01 00:03:11,695.0,346.0,853.0
2012-01-01 00:03:12,391.0,464.0,205.0
2012-01-01 00:03:13,222.0,946.0,827.0
2012-01-01 00:03:14,209.0,60.0,853.0
2012-01-01 00:03:15,710.0,666.0,548.0
2012-01-01 00:03:16,562.0,208.0,496.0
2012-01-01 00:03:17,290.0,300.0,258.0
2012-01-01 00:03:18,193.0,2.0,212.0
2012-01-01 00:03:19,548.0,266.0,762.0
2012-01-01 00:03:20,640.0,763.0,146.0
2012-01-01 00:03:21,852.0,51.0,283.0
2012-01-01 00:03:22,593.0,969.0,106.0
2012-01-01 00:03:23,292.0,146.0,756.0
2012-01-01 00:03:24,333.0,315.0,768.0
