physical_quantity,power,energy,voltage
type,active,reactive,
,,,
2012-01-01 00:00:00,489.0,654.0,162.0
2012-01-01 00:00:01,997.0,158.0,417.0
2012-01-01 00:00:02,712.0,262.0,805.0
2012-01-01 00:00:03,382.0,896.0,214.0
2012-01-01 00:00:04,525.0,792.0,116.0
2012-01-01 00:00:05,391.0,423.0,773.0
2012-01-01 00:00:06,846.0,531.0,80.0
2012-01-01 00:00:07,607.0,186.0,133.0
2012-01-01 00:00:08,166.0,987.0,649.0
2012-01-01 00:00:09,136.0,740.0,161.0
2012-01-01 00:00:10,716.0,822.0,842.0
2012-01-01 00:00:11,586.0,861.0,987.0
2012-01-01 00:00:12,214.0,700.0,314.0
2012-01-01 00:00:13,718.0,877.0,116.0
2012-01-01 00:00:14,778.0,524.0,317.0
2012-01-01 00:00:15,987.0,881.0,70.0
2012-01-01 00:00:16,606.0,240.0,362.0
2012-01-01 00:00:17,21.0,37.0,653.0
2012-01-01 00:00:18,773.0,237.0,542.0
2012-01-01 00:00:19,892.0,50.0,386.0
2012-01-01 00:00:20,912.0,19.0,134.0
2012-01-01 00:00:21,400.0,825.0,753.0
2012-01-01 00:00:22,473.0,497.0,116.0
2012-01-01 00:00:23,666.0,524.0,487.0
2012-01-01 00:00:24,516.0,64.0,656.0
2012-01-01 00:00:25,164.0,911.0,657.0
2012-01-01 00:00:26,347.0,258.0,913.0
2012-01-01 00:00:27,936.0,244.0,639.0
2012-01-01 00:00:28,221.0,735.0,589.0
2012-01-01 00:00:29,16.0,594.0,828.0
2012-01-01 00:00:30,686.0,327.0,579.0
2012-01-01 00:00:31,919.0,860.0,430.0
2012-01-01 00:00:32,823.0,504.0,382.0
2012-01-01 00:00:33,842.0,511.0,331.0
2012-01-01 00:00:34,653.0,838.0,578.0
2012-01-01 00:00:35,223.0,138.0,769.0
2012-01-01 00:00:36,272.0,681.0,825.0
2012-01-01 00:00:37,124.0,278.0,32.0
2012-01-01 00:00:38,213.0,300.0,77.0
2012-01-01 00:00:39,304.0,105.0,531.0
2012-01-01 00:00:40,110.0,180.0,656.0
2012-01-01 00:00:41,364.0,647.0,774.0
2012-01-01 00:00:42,752.0,164.0,483.0
2012-01-01 00:00:43,304.0,451.0,29.0
2012-01-01 00:00:44,819.0,821.0,563.0
2012-01-01 00:00:45,84.0,874.0,169.0
2012-01-01 00:00:46,666.0,770.0,350.0
2012-01-01 00:00:47,527.0,716.0,70.0
2012-01-01 00:00:48,970.0,242.0,116.0
2012-01-01 00:00:49,609.0,553.0,970.0
2012-01-01 00:00:50,633.0,735.0,951.0
2012-01-01 00:00:51,108.0,499.0,288.0
2012-01-01 00:00:52,28.0,113.0,862.0
2012-01-01 00:00:53,346.0,870.0,829.0
2012-01-01 00:00:54,742.0,193.0,519.0
2012-01-01 00:00:55,554.0,112.0,430.0
2012-01-01 00:00:56,779.0,339.0,39.0
2012-01-01 00:00:57,4.0,439.0,487.0
2012-01-01 00:00:58,312.0,972.0,621.0
2012-01-01 00:00:59,365.0,256.0,672.0
2012-01-01 00:01:00,187.0,72.0,230.0
2012-01-01 00:01:01,872.0,33.0,71.0
2012-01-01 00:01:02,800.0,483.0,567.0
2012-01-01 00:01:03,587.0,355.0,594.0
2012-01-01 00:01:04,230.0,660.0,480.0
2012-01-01 00:01:05,490.0,707.0,387.0
2012-01-01 00:01:06,747.0,176.0,10.0
2012-01-01 00:01:07,634.0,217.0,132.0
2012-01-01 00:01:08,571.0,157.0,577.0
2012-01-01 00:01:09,471.0,872.0,143.0
2012-01-01 00:01:10,209.0,331.0,89.0
2012-01-01 00:01:11,11.0,25.0,323.0
2012-01-01 00:01:12,250.0,241.0,538.0
2012-01-01 00:01:13,564.0,854.0,84.0
2012-01-01 00:01:14,175.0,292.0,993.0
2012-01-01 00:01:15,44.0,714.0,642.0
2012-01-01 00:01:16,389.0,461.0,389.0
2012-01-01 00:01:17,588.0,156.0,160.0
2012-01-01 00:01:18,528.0,952.0,778.0
2012-01-01 00:01:19,634.0,833.0,801.0
2012-01-01 00:01:20,222.0,911.0,747.0
2012-01-01 00:01:21,936.0,123.0,804.0
2012-01-01 00:01:22,149.0,429.0,546.0
2012-01-01 00:01:23,902.0,817.0,884.0
2012-01-01 00:01:24,526.0,387.0,855.0
2012-01-01 00:01:25,268.0,540.0,305.0
2012-01-01 00:01:26,15.0,512.0,33.0
2012-01-01 00:01:27,353.0,463.0,991.0
2012-01-01 00:01:28,103.0,288.0,142.0
2012-01-01 00:01:29,976.0,697.0,336.0
2012-01-01 00:01:30,802.0,692.0,924.0
2012-01-01 00:01:31,375.0,203.0,57.0
2012-01-01 00:01:32,996.0,588.0,660.0
2012-01-01 00:01:33,38.0,512.0,560.0
2012-01-01 00:01:34,332.0,810.0,880.0
2012-01-01 00:01:35,343.0,87.0,332.0
2012-01-01 00:01:36,355.0,900.0,950.0
2012-01-01 00:01:37,845.0,463.0,581.0
2012-01-01 00:01:38,385.0,364.0,246.0
2012-01-01 00:01:39,497.0,835.0,62.0
2012-01-01 00:01:40,591.0,867.0,239.0
2012-01-01 00:01:41,596.0,80.0,66.0
2012-01-01 00:01:42,599.0,965.0,338.0
2012-01-01 00:01:43,97.0,506.0,981.0
2012-01-01 00:01:44,493.0,770.0,678.0
2012-01-01 00:01:45,470.0,266.0,735.0
2012-01-01 00:01:46,366.0,285.0,817.0
2012-01-01 00:01:47,483.0,578.0,687.0
2012-01-01 00:01:48,615.0,807.0,739.0
2012-01-01 00:01:49,271.0,159.0,867.0
2012-01-01 00:01:50,701.0,229.0,725.0
2012-01-01 00:01:51,613.0,497.0,971.0
2012-01-01 00:01:52,551.0,205.0,198.0
2012-01-01 00:01:53,321.0,359.0,394.0
2012-01-01 00:01:54,496.0,457.0,486.0
2012-01-01 00:01:55,901.0,136.0,914.0
2012-01-01 00:01:56,152.0,644.0,516.0
2012-01-01 00:01:57,309.0,450.0,451.0
2012-01-01 00:01:58,267.0,217.0,901.0
2012-01-01 00:01:59,756.0,201.0,858.0
2012-01-01 00:02:00,359.0,598.0,112.0
2012-01-01 00:02:01,293.0,925.0,164.0
2012-01-01 00:02:02,507.0,745.0,152.0
2012-01-01 00:02:03,427.0,59.0,909.0
2012-01-01 00:02:04,66.0,627.0,579.0
2012-01-01 00:02:05,675.0,280.0,7.0
2012-01-01 00:02:06,280.0,419.0,541.0
2012-01-01 00:02:07,626.0,334.0,187.0
2012-01-01 00:02:08,812.0,740.0,558.0
2012-01-01 00:02:09,689.0,452.0,849.0
2012-01-01 00:02:10,991.0,41.0,177.0
2012-01-01 00:02:11,774.0,3.0,309.0
2012-01-01 00:02:12,616.0,684.0,798.0
2012-01-01 00:02:13,79.0,60.0,172.0
2012-01-01 00:02:14,377.0,386.0,942.0
2012-01-01 00:02:15,432.0,514.0,2.0
2012-01-01 00:02:16,476.0,82.0,771.0
2012-01-01 00:02:17,58.0,34.0,308.0
2012-01-01 00:02:18,399.0,375.0,178.0
2012-01-01 00:02:19,153.0,677.0,368.0
2012-01-01 00:02:20,67.0,368.0,417.0
2012-01-01 00:02:21,242.0,276.0,680.0
2012-01-01 00:02:22,442.0,88.0,258.0
2012-01-01 00:02:23,236.0,311.0,189.0
2012-01-01 00:02:24,401.0,728.0,223.0
2012-01-01 00:02:25,595.0,14.0,193.0
2012-01-01 00:02:26,765.0,756.0,29.0
2012-01-01 00:02:27,459.0,166.0,831.0
2012-01-01 00:02:28,234.0,245.0,696.0
2012-01-01 00:02:29,318.0,6.0,85.0
2012-01-01 00:02:30,327.0,214.0,534.0
2012-01-01 00:02:31,843.0,261.0,697.0
2012-01-01 00:02:32,525.0,283.0,260.0
2012-01-01 00:02:33,963.0,55.0,632.0
2012-01-01 00:02:34,509.0,664.0,410.0
2012-01-01 00:02:35,443.0,131.0,540.0
2012-01-01 00:02:36,744.0,622.0,625.0
2012-01-01 00:02:37,986.0,262.0,415.0
2012-01-01 00:02:38,915.0,319.0,367.0
2012-01-01 00:02:39,554.0,355.0,925.0
2012-01-01 00:02:40,827.0,476.0,667.0
2012-01-01 00:02:41,39.0,322.0,986.0
2012-01-01 00:02:42,980.0,804.0,354.0
2012-01-01 00:02:43,314.0,787.0,446.0
2012-01-01 00:02:44,712.0,162.0,313.0
2012-01-01 00:02:45,888.0,137.0,240.0
2012-01-01 00:02:46,570.0,884.0,660.0
2012-01-01 00:02:47,298.0,232.0,810.0
2012-01-01 00:02:48,215.0,358.0,128.0
2012-01-01 00:02:49,173.0,126.0,874.0
2012-01-01 00:02:50,926.0,574.0,429.0
2012-01-01 00:02:51,662.0,785.0,445.0
2012-01-01 00:02:52,282.0,43.0,173.0
2012-01-01 00:02:53,572.0,139.0,226.0
2012-01-01 00:02:54,360.0,271.0,404.0
2012-01-01 00:02:55,986.0,611.0,116.0
2012-01-01 00:02:56,191.0,122.0,268.0
2012-01-01 00:02:57,433.0,127.0,519.0
2012-01-01 00:02:58,439.0,183.0,135.0
2012-01-01 00:02:59,463.0,214.0,684.0
2012-01-01 00:03:00,353.0,151.0,885.0
2012-01-01 00:03:01,20.0,508.0,652.0
2012-01-01 00:03:02,305.0,434.0,3.0
2012-01-01 00:03:03,732.0,893.0,955.0
2012-01-01 00:03:04,707.0,660.0,929.0
2012-01-01 00:03:05,72.0,920.0,104.0
2012-01-01 00:03:06,340.0,131.0,319.0
2012-01-01 00:03:07,847.0,24.0,423.0
2012-01-01 00:03:08,518.0,893.0,684.0
2012-01-01 00:03:09,516.0,807.0,276.0
2012-01-01 00:03:10,673.0,431.0,917.0
2012-01-01 00:03:11,90.0,763.0,60.0
2012-01-01 00:03:12,713.0,334.0,630.0
2012-01-01 00:03:13,898.0,622.0,204.0
2012-01-01 00:03:14,473.0,55.0,192.0
2012-01-01 00:03:15,878.0,584.0,678.0
2012-01-01 00:03:16,25.0,273.0,327.0
2012-01-01 00:03:17,14.0,813.0,277.0
2012-01-01 00:03:18,933.0,813.0,515.0
2012-01-01 00:03:19,20.0,975.0,45.0
2012-01-01 00:03:20,88.0,790.0,507.0
2012-01-01 00:03:21,272.0,95.0,751.0
2012-01-01 00:03:22,65.0,896.0,750.0
2012-01-01 00:03:23,968.0,492.0,217.0
2012-01-01 00:03:24,432.0,290.0,59.0
